Timestamp,CpuALL_usage,Cpu0_usage,Cpu1_usage,Cpu2_usage,Cpu3_usage,Cpu4_usage,Cpu5_usage,Cpu6_usage,Cpu7_usage,Cpu8_usage,Cpu9_usage,Cpu10_usage,Cpu11_usage,Cpu12_usage,Cpu13_usage,Cpu14_usage,Cpu15_usage,Cpu16_usage,Cpu17_usage,Cpu18_usage,Cpu19_usage,Cpu20_usage,Cpu21_usage,Cpu22_usage,Cpu23_usage,Cpu24_usage,Cpu25_usage,Cpu26_usage,Cpu27_usage,Cpu28_usage,Cpu29_usage,Cpu30_usage,Cpu31_usage,Cpu32_usage,Cpu33_usage,Cpu34_usage,Cpu35_usage,cpu_frequency,memory_usage,Reads_on_sda,Writes_on_sda,Energy_usage_during_time,memory_usage_perce,write_rate_during_time,read_rate_during_time
1758727654.2370002,5.95,5.5,5.66,5.61,5.56,5.57,5.6,5.54,5.54,5.54,5.62,5.59,5.61,5.59,5.7,17.57,6.85,5.99,5.65,5.45,5.5,5.45,5.46,5.45,5.53,5.48,5.44,5.48,5.56,5.54,5.55,5.59,5.62,5.8,5.6,5.65,5.68,2382,1563456,11012,74008,4841479.0,19.57211780405549,0.0,0.0
1758727654.405,5.95,5.5,5.66,5.61,5.56,5.57,5.6,5.54,5.54,5.54,5.62,5.59,5.61,5.59,5.7,17.57,6.85,5.99,5.65,5.45,5.5,5.45,5.46,5.45,5.53,5.48,5.44,5.48,5.56,5.54,5.55,5.59,5.62,5.8,5.6,5.65,5.68,2498,1563712,11012,74008,4775440.0,19.57532253905145,0.0,0.0
1758727654.573,5.95,5.5,5.66,5.6,5.56,5.57,5.6,5.54,5.54,5.54,5.62,5.59,5.61,5.59,5.7,17.57,6.85,5.99,5.65,5.45,5.5,5.45,5.46,5.45,5.53,5.48,5.44,5.48,5.56,5.54,5.55,5.59,5.62,5.8,5.6,5.65,5.68,2340,1564212,11012,74008,4550220.0,19.58158178709043,0.0,0.0
1758727654.7410002,5.95,5.5,5.66,5.6,5.56,5.57,5.6,5.54,5.54,5.54,5.62,5.59,5.61,5.59,5.7,17.57,6.85,5.99,5.65,5.45,5.5,5.45,5.46,5.45,5.53,5.48,5.44,5.48,5.56,5.54,5.55,5.59,5.62,5.8,5.6,5.65,5.68,2391,1563596,11012,74008,4665333.0,19.573870393506407,0.0,0.0
1758727654.913,5.95,5.5,5.66,5.6,5.56,5.57,5.6,5.54,5.54,5.54,5.62,5.59,5.61,5.59,5.7,17.57,6.85,5.99,5.65,5.45,5.5,5.45,5.46,5.45,5.53,5.48,5.44,5.48,5.56,5.54,5.55,5.59,5.62,5.8,5.6,5.65,5.68,2270,1570932,11012,74008,4888110.0,19.665706080734285,0.0,0.0
1758727655.091,5.95,5.5,5.66,5.6,5.56,5.57,5.6,5.54,5.54,5.54,5.62,5.59,5.61,5.59,5.7,17.57,6.85,5.99,5.65,5.45,5.5,5.45,5.45,5.45,5.53,5.48,5.44,5.48,5.56,5.54,5.55,5.59,5.62,5.8,5.6,5.65,5.68,2948,1577240,11012,74010,8820228.0,19.744672753994028,2.0,0.0
1758727655.262,5.95,5.5,5.66,5.6,5.56,5.57,5.6,5.54,5.54,5.54,5.62,5.59,5.61,5.59,5.7,17.57,6.85,5.99,5.65,5.45,5.5,5.45,5.46,5.45,5.53,5.48,5.44,5.48,5.56,5.54,5.55,5.59,5.62,5.8,5.6,5.65,5.68,2710,1580516,11012,74010,6588118.0,19.785683347145408,0.0,0.0
1758727655.435,5.95,5.5,5.66,5.6,5.56,5.57,5.6,5.54,5.54,5.54,5.62,5.59,5.61,5.59,5.7,17.57,6.85,5.99,5.65,5.45,5.5,5.45,5.45,5.45,5.53,5.48,5.44,5.48,5.56,5.54,5.55,5.59,5.62,5.8,5.6,5.65,5.68,2726,1580576,11012,74047,9486976.0,19.786434456910087,37.0,0.0
1758727655.609,5.95,5.5,5.66,5.6,5.56,5.57,5.6,5.54,5.54,5.54,5.62,5.59,5.61,5.59,5.7,17.57,6.85,5.99,5.65,5.45,5.5,5.45,5.45,5.45,5.53,5.48,5.44,5.48,5.56,5.54,5.55,5.59,5.62,5.8,5.6,5.65,5.68,2725,1581680,11012,74047,9497229.0,19.800254876580148,0.0,0.0
1758727655.782,5.95,5.5,5.66,5.6,5.56,5.57,5.6,5.54,5.54,5.54,5.62,5.59,5.61,5.59,5.7,17.57,6.85,5.99,5.65,5.45,5.5,5.45,5.45,5.45,5.53,5.48,5.44,5.48,5.56,5.54,5.55,5.59,5.62,5.8,5.6,5.65,5.68,2728,1582380,11012,74047,9339881.0,19.809017823834715,0.0,0.0
1758727655.954,5.95,5.5,5.66,5.6,5.56,5.57,5.6,5.54,5.54,5.54,5.62,5.59,5.61,5.59,5.7,17.57,6.85,5.99,5.65,5.45,5.5,5.45,5.45,5.45,5.53,5.48,5.44,5.48,5.56,5.54,5.55,5.59,5.62,5.8,5.6,5.65,5.68,2732,1581464,11012,74047,9522802.0,19.79755088142731,0.0,0.0
1758727656.1260002,5.95,5.5,5.66,5.6,5.56,5.57,5.6,5.54,5.54,5.54,5.62,5.59,5.61,5.59,5.7,17.57,6.85,5.99,5.65,5.45,5.5,5.45,5.45,5.45,5.53,5.48,5.44,5.48,5.56,5.54,5.55,5.59,5.62,5.8,5.6,5.65,5.68,2714,1578308,11012,74047,9466895.0,19.758042507805282,0.0,0.0
1758727656.3,5.95,5.5,5.66,5.6,5.56,5.57,5.6,5.54,5.54,5.54,5.62,5.59,5.61,5.59,5.7,17.57,6.85,5.99,5.65,5.45,5.5,5.45,5.45,5.45,5.53,5.48,5.44,5.48,5.56,5.54,5.55,5.59,5.62,5.8,5.6,5.65,5.68,2727,1578332,11012,74049,10168309.0,19.758342951711153,2.0,0.0
