Timestamp,CpuALL_usage,Cpu0_usage,Cpu1_usage,Cpu2_usage,Cpu3_usage,Cpu4_usage,Cpu5_usage,Cpu6_usage,Cpu7_usage,Cpu8_usage,Cpu9_usage,Cpu10_usage,Cpu11_usage,Cpu12_usage,Cpu13_usage,Cpu14_usage,Cpu15_usage,Cpu16_usage,Cpu17_usage,Cpu18_usage,Cpu19_usage,Cpu20_usage,Cpu21_usage,Cpu22_usage,Cpu23_usage,Cpu24_usage,Cpu25_usage,Cpu26_usage,Cpu27_usage,Cpu28_usage,Cpu29_usage,Cpu30_usage,Cpu31_usage,Cpu32_usage,Cpu33_usage,Cpu34_usage,Cpu35_usage,cpu_frequency,memory_usage,Reads_on_sda,Writes_on_sda,Energy_usage_during_time,memory_usage_perce,write_rate_during_time,read_rate_during_time
1757011146.561,9.73,2.32,9.69,13.97,19.22,11.96,9.43,5.13,8.03,5.12,5.52,7.08,1.48,7.4,9.29,10.84,10.36,10.04,14.93,19.1,13.74,9.11,5.37,5.59,6.12,6.55,6.27,5.92,6.61,7.82,16.73,14.12,13.88,16.41,16.79,11.22,7.0,2699,6750220,16738,184133,193456963.0,84.50260259533461,2.0,0.0
1757011148.293,9.73,2.32,9.69,13.97,19.22,11.96,9.44,5.14,8.03,5.12,5.53,7.08,1.48,7.4,9.3,10.85,10.36,10.04,14.93,19.11,13.74,9.11,5.37,5.59,6.12,6.56,6.27,5.92,6.61,7.83,16.73,14.13,13.89,16.41,16.8,11.23,7.0,2699,6755544,16738,184135,180643153.0,84.56925106845364,2.0,0.0
1757011150.0129998,9.74,2.33,9.7,13.98,19.23,11.97,9.44,5.14,8.04,5.13,5.53,7.09,1.49,7.41,9.3,10.85,10.37,10.04,14.93,19.11,13.75,9.11,5.37,5.59,6.12,6.56,6.28,5.93,6.62,7.83,16.73,14.13,13.89,16.41,16.8,11.23,7.01,2699,6756924,16738,184145,183184773.0,84.58652659304123,10.0,0.0
1757011151.71,9.74,2.33,9.7,13.98,19.23,11.97,9.44,5.14,8.04,5.13,5.53,7.09,1.49,7.41,9.3,10.86,10.37,10.05,14.94,19.11,13.75,9.12,5.38,5.6,6.13,6.56,6.28,5.93,6.62,7.84,16.74,14.14,13.89,16.42,16.81,11.23,7.01,2699,6761068,16738,184145,178043123.0,84.63840324078826,0.0,0.0
1757011153.486,9.74,2.33,9.71,13.98,19.23,11.98,9.45,5.15,8.04,5.14,5.54,7.09,1.49,7.41,9.31,10.86,10.38,10.05,14.94,19.12,13.76,9.12,5.38,5.6,6.13,6.57,6.28,5.94,6.62,7.84,16.74,14.14,13.9,16.42,16.81,11.24,7.01,2697,6762832,16738,184147,187254831.0,84.66048586786977,2.0,0.0
