Timestamp,CpuALL_usage,Cpu0_usage,Cpu1_usage,Cpu2_usage,Cpu3_usage,Cpu4_usage,Cpu5_usage,Cpu6_usage,Cpu7_usage,Cpu8_usage,Cpu9_usage,Cpu10_usage,Cpu11_usage,Cpu12_usage,Cpu13_usage,Cpu14_usage,Cpu15_usage,Cpu16_usage,Cpu17_usage,Cpu18_usage,Cpu19_usage,Cpu20_usage,Cpu21_usage,Cpu22_usage,Cpu23_usage,Cpu24_usage,Cpu25_usage,Cpu26_usage,Cpu27_usage,Cpu28_usage,Cpu29_usage,Cpu30_usage,Cpu31_usage,Cpu32_usage,Cpu33_usage,Cpu34_usage,Cpu35_usage,cpu_frequency,memory_usage,Reads_on_sda,Writes_on_sda,Energy_usage_during_time,memory_usage_perce,write_rate_during_time,read_rate_during_time
1757041484.321,9.09,3.07,8.62,12.9,16.85,10.25,9.88,7.01,7.97,5.26,5.21,6.76,2.06,5.53,7.0,9.14,9.19,9.43,11.27,14.31,11.01,8.52,6.53,6.95,6.65,9.0,8.81,6.93,8.92,7.45,15.49,13.76,11.14,14.1,12.95,10.38,7.11,2310,2292416,17372,335657,4728016.0,28.697600705041697,0.0,0.0
1757041484.49,9.09,3.07,8.62,12.9,16.85,10.25,9.88,7.01,7.97,5.26,5.21,6.76,2.06,5.53,7.0,9.14,9.19,9.43,11.27,14.31,11.01,8.52,6.53,6.95,6.65,9.0,8.81,6.93,8.92,7.45,15.49,13.76,11.14,14.1,12.95,10.38,7.11,2655,2294752,17372,335657,8368570.0,28.7268439118798,0.0,0.0
1757041484.657,9.09,3.07,8.62,12.9,16.85,10.25,9.88,7.01,7.97,5.26,5.21,6.76,2.06,5.53,7.0,9.14,9.19,9.43,11.27,14.31,11.01,8.52,6.53,6.95,6.65,9.0,8.81,6.93,8.92,7.45,15.49,13.76,11.14,14.1,12.95,10.38,7.11,2983,2295308,17372,335657,11054231.0,28.733804195699147,0.0,0.0
1757041484.826,9.09,3.07,8.62,12.9,16.85,10.25,9.88,7.01,7.97,5.26,5.21,6.76,2.06,5.53,7.0,9.14,9.19,9.43,11.27,14.31,11.01,8.52,6.53,6.95,6.65,9.0,8.81,6.93,8.92,7.45,15.49,13.76,11.14,14.1,12.95,10.38,7.11,2932,2295200,17372,335659,11146212.0,28.732452198122726,2.0,0.0
1757041484.995,9.09,3.07,8.62,12.9,16.85,10.25,9.88,7.0,7.97,5.26,5.21,6.76,2.06,5.53,7.0,9.14,9.19,9.43,11.27,14.31,11.01,8.52,6.53,6.95,6.65,9.0,8.81,6.93,8.92,7.45,15.49,13.76,11.14,14.1,12.95,10.38,7.11,2913,2293340,17372,335659,11072909.0,28.709167795417727,0.0,0.0
1757041485.165,9.09,3.07,8.62,12.9,16.85,10.25,9.88,7.0,7.97,5.26,5.21,6.76,2.06,5.53,7.0,9.14,9.19,9.43,11.27,14.31,11.01,8.52,6.53,6.95,6.65,9.0,8.81,6.93,8.92,7.45,15.49,13.76,11.14,14.1,12.95,10.38,7.11,2979,2295824,17372,335659,11297639.0,28.74026373967537,0.0,0.0
1757041485.336,9.1,3.07,8.62,12.9,16.85,10.25,9.88,7.0,7.97,5.26,5.21,6.76,2.06,5.53,7.0,9.14,9.19,9.43,11.27,14.31,11.01,8.52,6.53,6.95,6.65,9.0,8.81,6.93,8.92,7.45,15.49,13.76,11.15,14.1,12.95,10.38,7.11,2896,2294016,17372,335696,11163424.0,28.717630298766426,37.0,0.0
1757041485.505,9.1,3.07,8.62,12.9,16.85,10.25,9.88,7.0,7.97,5.26,5.21,6.76,2.06,5.53,7.0,9.14,9.19,9.43,11.27,14.31,11.01,8.52,6.53,6.95,6.65,9.0,8.81,6.93,8.92,7.45,15.49,13.76,11.15,14.1,12.95,10.38,7.11,2887,2293856,17372,335696,11185640.0,28.715627339393958,0.0,0.0
1757041485.675,9.1,3.07,8.62,12.9,16.85,10.25,9.88,7.0,7.97,5.26,5.21,6.76,2.06,5.53,7.0,9.14,9.19,9.43,11.27,14.31,11.01,8.52,6.53,6.95,6.65,9.0,8.81,6.93,8.92,7.45,15.49,13.76,11.15,14.1,12.95,10.38,7.11,2932,2293596,17372,335696,11181490.0,28.71237253041369,0.0,0.0
1757041485.845,9.1,3.07,8.62,12.9,16.85,10.25,9.88,7.0,7.97,5.26,5.21,6.76,2.06,5.53,7.0,9.14,9.19,9.43,11.27,14.31,11.01,8.52,6.53,6.95,6.65,9.0,8.81,6.93,8.92,7.45,15.49,13.76,11.15,14.1,12.95,10.38,7.11,2888,2293684,17372,335696,11225374.0,28.713474158068546,0.0,0.0
1757041486.015,9.1,3.07,8.62,12.9,16.85,10.25,9.88,7.0,7.97,5.26,5.21,6.76,2.06,5.53,7.0,9.14,9.19,9.43,11.27,14.31,11.01,8.52,6.53,6.95,6.65,9.0,8.81,6.93,8.92,7.45,15.49,13.76,11.15,14.1,12.95,10.38,7.11,2904,2293012,17372,335696,11180697.0,28.705061728704163,0.0,0.0
1757041486.184,9.1,3.07,8.62,12.9,16.85,10.25,9.88,7.0,7.97,5.26,5.21,6.76,2.06,5.53,7.0,9.14,9.19,9.43,11.27,14.31,11.01,8.52,6.53,6.95,6.65,9.0,8.81,6.93,8.92,7.45,15.49,13.76,11.15,14.1,12.95,10.38,7.11,2960,2293888,17372,335696,11266695.0,28.71602793126845,0.0,0.0
1757041486.354,9.1,3.07,8.62,12.9,16.85,10.25,9.88,7.0,7.97,5.26,5.21,6.76,2.06,5.53,7.0,9.14,9.19,9.43,11.27,14.31,11.01,8.52,6.53,6.95,6.65,9.0,8.81,6.93,8.92,7.45,15.49,13.76,11.15,14.1,12.95,10.38,7.11,2884,2294008,17372,335698,11183931.0,28.717530150797803,2.0,0.0
1757041486.524,9.1,3.07,8.62,12.9,16.85,10.25,9.88,7.0,7.97,5.26,5.21,6.76,2.06,5.53,7.0,9.14,9.19,9.43,11.27,14.31,11.01,8.52,6.53,6.95,6.65,9.0,8.81,6.93,8.92,7.45,15.49,13.76,11.15,14.1,12.95,10.38,7.11,2907,2294320,17372,335698,11224397.0,28.721435921574123,0.0,0.0
1757041486.694,9.1,3.07,8.62,12.9,16.85,10.25,9.88,7.0,7.97,5.26,5.21,6.76,2.06,5.53,7.0,9.14,9.19,9.43,11.27,14.31,11.01,8.52,6.53,6.95,6.65,9.0,8.81,6.93,8.92,7.45,15.49,13.76,11.15,14.1,12.95,10.38,7.11,2922,2295136,17372,335698,11231295.0,28.73165101437374,0.0,0.0
1757041486.8620002,9.1,3.07,8.62,12.9,16.85,10.25,9.88,7.0,7.97,5.26,5.21,6.76,2.06,5.53,7.0,9.14,9.19,9.43,11.27,14.31,11.01,8.52,6.53,6.95,6.65,9.0,8.81,6.93,8.92,7.45,15.49,13.76,11.15,14.1,12.96,10.38,7.11,2914,2294804,17372,335698,11129915.0,28.72749487367586,0.0,0.0
1757041487.031,9.1,3.07,8.62,12.9,16.85,10.25,9.88,7.0,7.97,5.26,5.21,6.76,2.06,5.53,7.0,9.14,9.19,9.43,11.27,14.31,11.01,8.52,6.53,6.95,6.65,9.0,8.81,6.93,8.92,7.45,15.49,13.76,11.15,14.1,12.96,10.38,7.11,2906,2294708,17372,335698,11201571.0,28.726293098052373,0.0,0.0
1757041487.202,9.1,3.07,8.62,12.9,16.85,10.25,9.88,7.0,7.97,5.26,5.21,6.76,2.06,5.53,7.0,9.14,9.19,9.43,11.27,14.31,11.01,8.52,6.53,6.95,6.65,9.0,8.81,6.93,8.92,7.45,15.49,13.76,11.15,14.1,12.96,10.38,7.11,2951,2294796,17372,335698,11281587.0,28.727394725707235,0.0,0.0
1757041487.371,9.1,3.07,8.62,12.9,16.85,10.25,9.88,7.0,7.97,5.26,5.2,6.76,2.06,5.53,7.0,9.14,9.19,9.43,11.27,14.31,11.01,8.52,6.53,6.95,6.65,9.0,8.81,6.93,8.92,7.45,15.49,13.76,11.15,14.1,12.96,10.38,7.11,2898,2294164,17372,335698,11178682.0,28.719483036185967,0.0,0.0
1757041487.542,9.1,3.07,8.62,12.9,16.85,10.25,9.88,7.0,7.97,5.26,5.2,6.76,2.06,5.53,7.0,9.14,9.19,9.43,11.27,14.31,11.01,8.52,6.53,6.95,6.65,9.0,8.81,6.93,8.92,7.45,15.49,13.76,11.15,14.1,12.96,10.38,7.11,2925,2294244,17372,335698,11241793.0,28.7204845158722,0.0,0.0
1757041487.712,9.1,3.07,8.62,12.9,16.85,10.25,9.88,7.0,7.97,5.26,5.2,6.76,2.06,5.53,7.0,9.14,9.19,9.43,11.27,14.31,11.01,8.52,6.53,6.95,6.65,9.0,8.81,6.93,8.92,7.45,15.49,13.76,11.15,14.1,12.96,10.38,7.11,2912,2295056,17372,335698,11238802.0,28.7306495346875,0.0,0.0
1757041487.8820002,9.1,3.07,8.62,12.9,16.85,10.25,9.88,7.0,7.97,5.26,5.2,6.76,2.06,5.53,7.0,9.14,9.19,9.43,11.27,14.31,11.01,8.52,6.53,6.95,6.65,9.0,8.81,6.93,8.92,7.45,15.49,13.76,11.15,14.1,12.96,10.38,7.11,2914,2293504,17372,335698,11308198.0,28.711220828774515,0.0,0.0
