Timestamp,CpuALL_usage,Cpu0_usage,Cpu1_usage,Cpu2_usage,Cpu3_usage,memory_usage,Reads_on_sda,Writes_on_sda,Energy_usage_during_time
1733755306.315,30.6,43.07,24.65,20.89,33.76,6270304,24783,26198,1161435.0
1733755306.431,30.6,43.07,24.65,20.88,33.77,6270804,24783,26198,1155515.0
1733755306.546,30.6,43.06,24.65,20.88,33.77,6271308,24783,26198,1144955.0
1733755306.662,30.6,43.06,24.65,20.88,33.78,6271812,24783,26198,1158567.0
1733755306.778,30.6,43.06,24.65,20.88,33.78,6271812,24783,26198,1209897.0
1733755306.894,30.6,43.06,24.65,20.88,33.79,6272316,24783,26198,1475948.0
1733755307.01,30.6,43.05,24.65,20.88,33.79,6272568,24783,26198,1488461.0
1733755307.125,30.6,43.05,24.64,20.88,33.8,6273320,24783,26198,1486141.0
1733755307.241,30.6,43.05,24.64,20.88,33.8,6273824,24783,26198,1473201.0
1733755307.357,30.6,43.05,24.64,20.88,33.81,6273572,24783,26198,1480954.0
1733755307.473,30.6,43.04,24.64,20.88,33.81,6273320,24783,26198,1490535.0
1733755307.589,30.6,43.04,24.64,20.88,33.82,6273068,24783,26198,1479000.0
1733755307.705,30.6,43.04,24.64,20.88,33.82,6274072,24783,26198,1503476.0
1733755307.82,30.6,43.04,24.64,20.88,33.82,6275036,24783,26198,1314450.0
1733755307.936,30.6,43.03,24.63,20.88,33.83,6275032,24783,26198,1540217.0
1733755308.052,30.6,43.03,24.63,20.87,33.83,6274928,24783,26198,1542538.0
1733755308.167,30.6,43.03,24.63,20.87,33.84,6275176,24783,26198,1542843.0
1733755308.283,30.6,43.03,24.63,20.87,33.84,6274672,24783,26201,1517452.0
1733755308.4,30.6,43.02,24.63,20.87,33.85,6274864,24783,26201,1536190.0
1733755308.515,30.6,43.02,24.63,20.87,33.85,6275468,24783,26201,1536556.0
1733755308.632,30.6,43.02,24.63,20.87,33.86,6275564,24783,26201,1527034.0
1733755308.747,30.6,43.02,24.63,20.87,33.86,6275248,24783,26201,1524166.0
1733755308.863,30.6,43.01,24.62,20.87,33.87,6275408,24783,26201,1515256.0
1733755308.98,30.6,43.01,24.62,20.87,33.87,6275192,24783,26201,1518551.0
1733755309.095,30.6,43.01,24.62,20.86,33.88,6275228,24783,26201,1549007.0
1733755309.211,30.6,43.0,24.62,20.86,33.88,6275328,24783,26201,1506953.0
1733755309.327,30.6,43.0,24.62,20.86,33.89,6275672,24783,26201,1534421.0
1733755309.443,30.6,43.0,24.62,20.86,33.89,6276060,24783,26201,1525020.0
1733755309.559,30.6,43.0,24.62,20.86,33.9,6275656,24783,26201,1529476.0
1733755309.675,30.6,42.99,24.61,20.86,33.9,6275548,24783,26201,1531552.0
1733755309.791,30.6,42.99,24.62,20.86,33.9,6275764,24783,26201,1513118.0
1733755309.907,30.6,42.99,24.62,20.86,33.9,6276368,24783,26204,1554379.0
1733755310.022,30.6,42.99,24.63,20.86,33.9,6277620,24783,26204,1508357.0
1733755310.138,30.6,42.98,24.64,20.86,33.9,6278160,24783,26204,1518612.0
1733755310.254,30.6,42.98,24.64,20.86,33.89,6278260,24783,26204,1516476.0
1733755310.369,30.6,42.98,24.65,20.86,33.89,6279160,24783,26204,1507442.0
1733755310.485,30.6,42.98,24.65,20.85,33.89,6279732,24783,26204,1512570.0
1733755310.601,30.6,42.97,24.66,20.85,33.89,6280192,24783,26204,1527706.0
1733755310.716,30.6,42.97,24.66,20.85,33.89,6281484,24783,26204,1510005.0
1733755310.832,30.6,42.97,24.67,20.85,33.88,6282100,24783,26204,1521787.0
1733755310.948,30.6,42.97,24.67,20.85,33.88,6282604,24783,26204,1522213.0
1733755311.063,30.6,42.96,24.68,20.85,33.88,6282604,24783,26204,1518794.0
1733755311.179,30.6,42.96,24.69,20.85,33.88,6282556,24783,26204,1529172.0
1733755311.295,30.6,42.96,24.69,20.85,33.88,6282256,24783,26204,1515498.0
1733755311.411,30.6,42.96,24.7,20.85,33.87,6282332,24783,26204,1521664.0
1733755311.526,30.6,42.95,24.7,20.85,33.87,6282184,24783,26204,1508846.0
1733755311.642,30.6,42.95,24.71,20.85,33.87,6282672,24783,26204,1525692.0
1733755311.758,30.6,42.95,24.71,20.84,33.87,6282268,24783,26204,1526851.0
1733755311.873,30.6,42.95,24.72,20.84,33.87,6282412,24783,26204,1497799.0
1733755311.989,30.6,42.94,24.72,20.84,33.86,6282804,24783,26204,1528683.0
1733755312.105,30.6,42.94,24.73,20.84,33.86,6282652,24783,26204,1534847.0
