Timestamp,CpuALL_usage,Cpu0_usage,Cpu1_usage,Cpu2_usage,Cpu3_usage,memory_usage,Reads_on_sda,Writes_on_sda,Energy_usage_during_time
1733754195.569,31.89,39.27,25.89,22.41,40.0,6223468,24424,23002,1333554.0
1733754195.685,31.89,39.26,25.89,22.41,40.02,6227500,24424,23006,1651180.0
1733754195.801,31.89,39.25,25.88,22.41,40.03,6229012,24424,23006,1504879.0
1733754195.917,31.89,39.24,25.88,22.41,40.05,6230524,24424,23024,1507320.0
1733754196.033,31.89,39.24,25.87,22.4,40.06,6231128,24424,23024,1514950.0
1733754196.149,31.89,39.23,25.87,22.4,40.08,6232024,24424,23024,1533993.0
1733754196.264,31.89,39.22,25.86,22.4,40.09,6232024,24424,23024,1484066.0
1733754196.38,31.89,39.21,25.86,22.4,40.11,6232248,24424,23024,1502254.0
1733754196.496,31.89,39.21,25.85,22.39,40.12,6232308,24424,23024,1504940.0
1733754196.612,31.89,39.2,25.85,22.39,40.14,6233220,24424,23024,1532406.0
1733754196.728,31.89,39.19,25.85,22.38,40.15,6233780,24424,23024,1537472.0
1733754196.843,31.89,39.18,25.84,22.38,40.17,6234072,24424,23024,1513057.0
1733754196.959,31.89,39.18,25.84,22.37,40.18,6234720,24424,23024,1537960.0
1733754197.075,31.89,39.17,25.83,22.37,40.2,6235476,24424,23024,1541133.0
1733754197.19,31.89,39.16,25.82,22.36,40.21,6235324,24424,23028,1521603.0
1733754197.306,31.89,39.16,25.82,22.36,40.23,6235296,24424,23028,1532467.0
1733754197.422,31.89,39.15,25.82,22.35,40.24,6235040,24424,23028,1544063.0
1733754197.537,31.89,39.14,25.81,22.35,40.25,6234684,24424,23028,1544858.0
1733754197.653,31.89,39.13,25.81,22.35,40.27,6234032,24424,23028,1545101.0
1733754197.769,31.89,39.13,25.8,22.35,40.29,6233924,24424,23028,1534663.0
1733754197.884,31.89,39.12,25.79,22.34,40.3,6233524,24424,23028,1526730.0
1733754198.0,31.89,39.11,25.79,22.34,40.31,6233416,24424,23028,1534420.0
1733754198.116,31.89,39.11,25.78,22.34,40.33,6233660,24424,23028,1536495.0
1733754198.231,31.89,39.1,25.78,22.34,40.34,6233260,24424,23028,1513423.0
1733754198.347,31.89,39.09,25.78,22.33,40.36,6233008,24424,23028,1533383.0
1733754198.463,31.89,39.08,25.77,22.33,40.37,6232396,24424,23028,1537899.0
1733754198.579,31.89,39.07,25.77,22.32,40.39,6232396,24424,23028,1538997.0
