Timestamp,CpuALL_usage,Cpu0_usage,Cpu1_usage,Cpu2_usage,Cpu3_usage,memory_usage,Reads_on_sda,Writes_on_sda,Energy_usage_during_time
1733756195.004,30.38,40.4,24.32,20.77,36.01,6279140,24798,28441,1151974.0
1733756195.119,30.38,40.4,24.32,20.77,36.01,6279140,24798,28441,1155637.0
1733756195.235,30.38,40.39,24.32,20.77,36.02,6280120,24798,28441,1258846.0
1733756195.351,30.38,40.39,24.32,20.77,36.02,6280372,24798,28441,1488766.0
1733756195.467,30.38,40.39,24.31,20.77,36.02,6281632,24798,28441,1476864.0
1733756195.583,30.38,40.39,24.31,20.76,36.02,6281632,24798,28441,1488948.0
1733756195.699,30.38,40.39,24.32,20.76,36.02,6281632,24798,28441,1467282.0
1733756195.815,30.38,40.39,24.32,20.76,36.02,6281632,24798,28441,1493039.0
1733756195.931,30.38,40.39,24.33,20.76,36.02,6281632,24798,28441,1468623.0
1733756196.046,30.38,40.38,24.33,20.76,36.02,6282136,24798,28441,1484677.0
1733756196.162,30.38,40.38,24.33,20.76,36.02,6281988,24798,28441,1480343.0
1733756196.278,30.38,40.38,24.34,20.76,36.02,6281484,24798,28441,1300960.0
1733756196.394,30.38,40.38,24.34,20.76,36.01,6281232,24798,28441,1493527.0
1733756196.509,30.38,40.38,24.34,20.76,36.01,6281224,24798,28441,1500118.0
1733756196.625,30.38,40.38,24.35,20.76,36.01,6281220,24798,28441,1517208.0
1733756196.741,30.38,40.37,24.35,20.76,36.01,6280864,24798,28441,1475888.0
1733756196.856,30.38,40.37,24.35,20.76,36.01,6281364,24798,28441,1499203.0
1733756196.972,30.38,40.37,24.36,20.76,36.01,6282116,24798,28441,1492976.0
1733756197.088,30.38,40.37,24.36,20.76,36.01,6282216,24798,28441,1480649.0
1733756197.204,30.38,40.37,24.36,20.76,36.01,6282860,24798,28441,1497188.0
1733756197.32,30.38,40.37,24.37,20.76,36.0,6283612,24798,28444,1498592.0
1733756197.435,30.38,40.37,24.37,20.76,36.0,6283964,24798,28444,1489560.0
1733756197.551,30.38,40.36,24.37,20.75,36.0,6284464,24798,28444,1486751.0
1733756197.666,30.38,40.36,24.38,20.75,36.0,6283956,24798,28444,1471188.0
1733756197.782,30.38,40.36,24.38,20.75,36.0,6284560,24798,28444,1491146.0
1733756197.898,30.38,40.36,24.39,20.75,36.0,6284732,24798,28444,1473995.0
1733756198.013,30.38,40.36,24.39,20.75,36.0,6284768,24798,28444,1490597.0
1733756198.129,30.38,40.36,24.39,20.75,35.99,6284552,24798,28444,1495968.0
1733756198.245,30.38,40.35,24.4,20.75,35.99,6284756,24798,28444,1485348.0
1733756198.36,30.38,40.35,24.4,20.75,35.99,6284744,24798,28444,1506039.0
1733756198.476,30.38,40.35,24.4,20.75,35.99,6284992,24798,28444,1503108.0
1733756198.592,30.38,40.35,24.41,20.75,35.99,6284832,24798,28444,1483456.0
1733756198.708,30.38,40.35,24.41,20.75,35.99,6284516,24798,28444,1502743.0
1733756198.823,30.38,40.35,24.41,20.75,35.99,6284968,24798,28444,1504634.0
1733756198.939,30.38,40.35,24.42,20.75,35.98,6285088,24798,28444,1515866.0
1733756199.056,30.38,40.34,24.42,20.75,35.98,6284812,24798,28444,1501278.0
1733756199.171,30.38,40.34,24.42,20.75,35.98,6285460,24798,28444,1514583.0
1733756199.287,30.38,40.34,24.43,20.75,35.98,6284696,24798,28444,1515926.0
1733756199.403,30.38,40.34,24.43,20.75,35.98,6284284,24798,28444,1527096.0
1733756199.519,30.38,40.34,24.44,20.74,35.98,6284780,24798,28444,1500118.0
1733756199.635,30.38,40.34,24.44,20.74,35.98,6284556,24798,28444,1520260.0
1733756199.75,30.38,40.33,24.44,20.74,35.98,6284740,24798,28444,1505978.0
1733756199.866,30.38,40.33,24.45,20.74,35.97,6284828,24798,28444,1547298.0
1733756199.982,30.38,40.33,24.45,20.74,35.97,6284728,24798,28445,1481929.0
1733756200.098,30.38,40.33,24.45,20.74,35.97,6284676,24798,28445,1733089.0
1733756200.213,30.38,40.33,24.46,20.74,35.97,6284312,24798,28445,1516293.0
1733756200.329,30.38,40.33,24.46,20.74,35.97,6284504,24798,28445,1526668.0
1733756200.445,30.38,40.33,24.46,20.74,35.97,6285620,24798,28445,1521298.0
1733756200.561,30.38,40.32,24.47,20.74,35.97,6285112,24798,28445,1502925.0
1733756200.677,30.38,40.32,24.47,20.74,35.96,6284856,24798,28445,1500546.0
1733756200.792,30.38,40.32,24.47,20.74,35.96,6284948,24798,28445,1506100.0
1733756200.908,30.38,40.32,24.48,20.74,35.96,6284832,24798,28445,1506405.0
1733756201.024,30.38,40.32,24.48,20.74,35.96,6284652,24798,28445,1509334.0
1733756201.14,30.38,40.32,24.49,20.74,35.96,6284892,24798,28445,1510739.0
1733756201.255,30.38,40.32,24.49,20.74,35.96,6284840,24798,28445,1502498.0
1733756201.371,30.38,40.31,24.49,20.74,35.96,6285264,24798,28445,1516964.0
1733756201.487,30.38,40.31,24.5,20.74,35.96,6285008,24798,28445,1496212.0
1733756201.603,30.38,40.31,24.5,20.74,35.95,6285408,24798,28445,1524350.0
1733756201.718,30.38,40.31,24.5,20.74,35.95,6284500,24798,28445,1518489.0
1733756201.834,30.38,40.31,24.51,20.73,35.95,6284240,24798,28445,1503658.0
