Timestamp,CpuALL_usage,Cpu0_usage,Cpu1_usage,Cpu2_usage,Cpu3_usage,memory_usage,Reads_on_sda,Writes_on_sda,Energy_usage_during_time
1733756861.22,30.3,39.57,25.4,20.83,35.38,6283996,24806,30081,1164670.0
1733756861.336,30.3,39.56,25.4,20.83,35.38,6284248,24806,30081,1160641.0
1733756861.452,30.3,39.56,25.4,20.83,35.38,6284724,24806,30081,1152036.0
1733756861.568,30.3,39.56,25.4,20.83,35.38,6286236,24806,30081,1154294.0
1733756861.684,30.3,39.56,25.41,20.83,35.38,6287600,24806,30081,1151242.0
1733756861.8,30.3,39.56,25.41,20.83,35.38,6287596,24806,30081,1139341.0
1733756861.915,30.3,39.56,25.41,20.82,35.38,6288248,24806,30081,1401546.0
1733756862.031,30.3,39.56,25.42,20.82,35.38,6289100,24806,30081,1471676.0
1733756862.147,30.3,39.56,25.42,20.82,35.38,6289348,24806,30081,1455624.0
1733756862.263,30.3,39.55,25.42,20.82,35.37,6289996,24806,30081,1472713.0
1733756862.379,30.3,39.55,25.42,20.82,35.37,6290096,24806,30081,1462033.0
1733756862.494,30.3,39.55,25.43,20.82,35.37,6290092,24806,30081,1478939.0
1733756862.61,30.3,39.55,25.43,20.82,35.37,6290188,24806,30081,1455563.0
1733756862.726,30.3,39.55,25.43,20.82,35.37,6290828,24806,30081,1484737.0
1733756862.842,30.3,39.55,25.43,20.82,35.37,6290628,24806,30081,1360592.0
1733756862.958,30.3,39.55,25.43,20.82,35.37,6290412,24806,30081,1233518.0
1733756863.073,30.3,39.55,25.43,20.83,35.37,6290452,24806,30084,1529964.0
1733756863.189,30.3,39.55,25.43,20.83,35.37,6290452,24806,30084,1516048.0
1733756863.305,30.3,39.54,25.43,20.83,35.36,6290556,24806,30084,1524716.0
1733756863.42,30.3,39.54,25.43,20.83,35.36,6290048,24806,30084,1528499.0
1733756863.537,30.3,39.54,25.43,20.84,35.36,6289744,24806,30095,1506649.0
1733756863.652,30.3,39.54,25.43,20.84,35.36,6289236,24806,30095,1544857.0
1733756863.768,30.3,39.54,25.43,20.84,35.36,6288924,24806,30095,1497188.0
1733756863.884,30.3,39.54,25.43,20.85,35.36,6288516,24806,30095,1506162.0
1733756863.999,30.3,39.54,25.43,20.85,35.36,6288516,24806,30095,1504328.0
1733756864.115,30.3,39.54,25.43,20.85,35.36,6289012,24806,30095,1487302.0
1733756864.231,30.3,39.53,25.43,20.85,35.36,6289512,24806,30095,1510189.0
1733756864.347,30.3,39.53,25.43,20.86,35.36,6289832,24806,30095,1521602.0
1733756864.463,30.3,39.53,25.43,20.86,35.35,6290096,24806,30095,1519039.0
1733756864.579,30.3,39.53,25.43,20.86,35.35,6290004,24806,30095,1510983.0
1733756864.694,30.3,39.53,25.42,20.87,35.35,6290056,24806,30095,1509640.0
1733756864.81,30.3,39.53,25.42,20.87,35.35,6290152,24806,30095,1491146.0
1733756864.926,30.3,39.53,25.42,20.87,35.35,6289848,24806,30095,1495846.0
1733756865.042,30.3,39.53,25.42,20.88,35.35,6290048,24806,30095,1502132.0
1733756865.157,30.3,39.53,25.42,20.88,35.35,6289968,24806,30095,1510433.0
1733756865.273,30.3,39.52,25.42,20.88,35.35,6289816,24806,30095,1491635.0
1733756865.389,30.3,39.52,25.42,20.88,35.35,6290204,24806,30095,1515681.0
1733756865.505,30.3,39.52,25.42,20.89,35.35,6290048,24806,30095,1525265.0
1733756865.62,30.3,39.52,25.42,20.89,35.34,6290000,24806,30095,1494687.0
1733756865.736,30.3,39.52,25.42,20.89,35.34,6289932,24806,30095,1515559.0
1733756865.852,30.3,39.52,25.42,20.9,35.34,6290180,24806,30095,1509884.0
1733756865.968,30.3,39.52,25.42,20.9,35.34,6290388,24806,30095,1504330.0
1733756866.083,30.3,39.52,25.42,20.9,35.34,6290484,24806,30095,1505489.0
1733756866.199,30.3,39.51,25.42,20.9,35.34,6290116,24806,30095,1486752.0
1733756866.315,30.3,39.51,25.42,20.91,35.34,6290460,24806,30095,1497188.0
1733756866.431,30.3,39.51,25.42,20.91,35.34,6290100,24806,30095,1503537.0
1733756866.547,30.3,39.51,25.42,20.91,35.34,6290496,24806,30095,1498836.0
