Timestamp,CpuALL_usage,Cpu0_usage,Cpu1_usage,Cpu2_usage,Cpu3_usage,memory_usage,Reads_on_sda,Writes_on_sda,Energy_usage_during_time
1733756639.038,30.32,39.64,25.07,21.09,35.46,6283340,24800,29538,1152403.0
1733756639.153,30.32,39.64,25.07,21.09,35.46,6283844,24800,29538,1163326.0
1733756639.27,30.32,39.63,25.07,21.09,35.46,6283428,24800,29538,1168455.0
1733756639.386,30.32,39.63,25.07,21.09,35.47,6283932,24800,29538,1159847.0
1733756639.501,30.32,39.63,25.07,21.09,35.47,6283932,24800,29538,1160154.0
1733756639.617,30.32,39.63,25.07,21.09,35.47,6284184,24800,29538,1160031.0
1733756639.733,30.32,39.63,25.07,21.09,35.47,6284432,24800,29538,1293514.0
1733756639.849,30.32,39.63,25.07,21.09,35.48,6284932,24800,29538,1454465.0
1733756639.964,30.32,39.63,25.07,21.09,35.48,6285436,24800,29538,1474545.0
1733756640.08,30.32,39.63,25.07,21.09,35.48,6285820,24800,29538,1718318.0
1733756640.196,30.32,39.63,25.07,21.08,35.48,6285568,24800,29538,1433895.0
1733756640.312,30.32,39.62,25.07,21.08,35.49,6285316,24800,29538,1471920.0
1733756640.428,30.32,39.62,25.06,21.08,35.49,6285420,24800,29538,1458737.0
1733756640.544,30.32,39.62,25.06,21.08,35.49,6286576,24800,29538,1449702.0
1733756640.66,30.32,39.62,25.06,21.08,35.49,6286928,24800,29538,1457028.0
1733756640.776,30.32,39.62,25.06,21.08,35.5,6288188,24800,29538,1323239.0
1733756640.892,30.32,39.62,25.06,21.08,35.5,6288940,24800,29538,1539974.0
1733756641.008,30.32,39.62,25.06,21.08,35.5,6288584,24800,29538,1537289.0
1733756641.124,30.32,39.62,25.06,21.08,35.5,6287676,24800,29538,1539729.0
1733756641.239,30.32,39.61,25.06,21.08,35.51,6286668,24800,29541,1526303.0
1733756641.355,30.32,39.61,25.06,21.08,35.51,6286056,24800,29541,1534725.0
1733756641.471,30.32,39.61,25.06,21.08,35.51,6285904,24800,29541,1514461.0
1733756641.587,30.32,39.61,25.06,21.08,35.51,6284896,24800,29541,1530209.0
1733756641.702,30.32,39.61,25.06,21.08,35.52,6284388,24800,29541,1511105.0
1733756641.818,30.32,39.61,25.06,21.08,35.52,6284636,24800,29541,1519710.0
