Timestamp,CpuALL_usage,Cpu0_usage,Cpu1_usage,Cpu2_usage,Cpu3_usage,cpu_frequency,memory_usage,Reads_on_sda,Writes_on_sda,Energy_usage_during_time,memory_usage_perce,write_rate_during_time,read_rate_during_time
1747100352.181,74.31,73.43,76.31,73.24,74.24,2531,6953892,246440575,338423955,317260.0,87.0522697285239,0.0,0.0
1747100352.354,74.31,73.43,76.31,73.24,74.24,2475,6954232,246440575,338423955,305115.0,87.0565260171904,0.0,0.0
1747100352.522,74.31,73.43,76.31,73.24,74.24,2475,6954736,246440575,338423955,303588.0,87.06283533921368,0.0,0.0
1747100352.691,74.31,73.43,76.31,73.24,74.24,2452,6954300,246440575,338423955,302550.0,87.0573772749237,0.0,0.0
1747100352.86,74.31,73.43,76.31,73.24,74.24,2485,6954732,246440575,338423956,306640.0,87.06278526522938,1.0,0.0
1747100353.027,74.31,73.43,76.31,73.24,74.24,1888,6954892,246440575,338423956,308715.0,87.06478822460186,0.0,0.0
1747100353.196,74.31,73.43,76.31,73.24,74.24,2467,6955488,246440575,338423956,303467.0,87.07224924826431,0.0,0.0
1747100353.379,74.31,73.43,76.31,73.24,74.24,2517,6956404,246440575,338423956,332457.0,87.08371619067172,0.0,0.0
1747100353.506,74.31,73.43,76.31,73.24,74.24,2256,6956748,246440575,338423956,1261654.0,87.08802255332253,0.0,0.0
1747100353.705,74.31,73.43,76.31,73.24,74.24,2929,6960500,246440575,338428562,852842.0,87.13499195060702,4606.0,0.0
1747100353.848,74.31,73.43,76.31,73.24,74.24,2987,6961228,246440575,338440246,2383051.0,87.14410541575177,11684.0,0.0
1747100353.993,74.31,73.43,76.31,73.24,74.24,3578,6962484,246440575,338452274,2368035.0,87.15982864682569,12028.0,0.0
1747100354.138,74.31,73.43,76.31,73.24,74.24,3699,6962736,246440575,338464159,2378779.0,87.16298330783732,11885.0,0.0
1747100354.286,74.31,73.43,76.31,73.24,74.24,3699,6963060,246440575,338476375,2448968.0,87.16703930056659,12216.0,0.0
1747100354.435,74.31,73.43,76.31,73.24,74.24,3699,6963016,246440575,338488655,2420282.0,87.16648848673915,12280.0,0.0
1747100354.582,74.3,73.43,76.31,73.24,74.24,3699,6962612,246440575,338501004,2431268.0,87.16143101432367,12349.0,0.0
1747100354.726,74.3,73.43,76.31,73.24,74.24,3699,6962852,246440575,338512976,2447870.0,87.16443545338237,11972.0,0.0
1747100354.876,74.3,73.43,76.31,73.24,74.24,3699,6963856,246440575,338525159,2444207.0,87.17700402344464,12183.0,0.0
1747100355.017,74.3,73.43,76.31,73.24,74.24,3699,6964432,246440575,338536517,2434321.0,87.18421467718555,11358.0,0.0
1747100355.164,74.3,73.43,76.31,73.24,74.24,3699,6964988,246440575,338548421,2345270.0,87.19117496100488,11904.0,0.0
1747100355.318,74.3,73.43,76.31,73.24,74.24,3699,6964580,246440575,338560945,2408136.0,87.18606741460508,12524.0,0.0
1747100355.469,74.3,73.43,76.31,73.24,74.24,3699,6964908,246440575,338573252,2744378.0,87.19017348131864,12307.0,0.0
1747100355.608,74.3,73.43,76.31,73.24,74.24,3700,6966136,246440575,338584949,2411920.0,87.20554619450238,11697.0,0.0
1747100355.761,74.3,73.43,76.31,73.24,74.24,3699,6966136,246440575,338597067,2350884.0,87.20554619450238,12118.0,0.0
1747100355.906,74.3,73.43,76.31,73.24,74.24,3699,6966388,246440575,338609507,2473504.0,87.20870085551402,12440.0,0.0
1747100356.054,74.3,73.43,76.31,73.24,74.24,3699,6966640,246440575,338621657,2490839.0,87.21185551652567,12150.0,0.0
1747100356.197,74.3,73.43,76.31,73.24,74.24,3699,6966640,246440575,338633545,2371698.0,87.21185551652567,11888.0,0.0
1747100356.342,74.3,73.42,76.31,73.24,74.24,3700,6966640,246440575,338645462,2412164.0,87.21185551652567,11917.0,0.0
1747100356.487,74.3,73.42,76.31,73.24,74.24,3699,6967144,246440575,338657561,2413019.0,87.21816483854896,12099.0,0.0
1747100356.634,74.3,73.42,76.31,73.24,74.24,3700,6967144,246440575,338669278,2411188.0,87.21816483854896,11717.0,0.0
1747100356.778,74.3,73.42,76.31,73.24,74.24,3699,6967396,246440575,338680990,2467950.0,87.22131949956061,11712.0,0.0
1747100356.931,74.3,73.42,76.31,73.24,74.24,3699,6967396,246440575,338693689,2384028.0,87.22131949956061,12699.0,0.0
1747100357.084,74.3,73.42,76.31,73.24,74.24,3699,6967900,246440575,338705912,2535087.0,87.22762882158389,12223.0,0.0
1747100357.234,74.3,73.42,76.31,73.24,74.23,3699,6967952,246440575,338718943,2542780.0,87.22827978337995,13031.0,0.0
1747100357.393,74.3,73.42,76.31,73.24,74.23,3699,6967780,246440575,338732362,2721002.0,87.22612660205453,13419.0,0.0
1747100357.541,74.3,73.42,76.31,73.24,74.23,3699,6967424,246440575,338744405,2393548.0,87.22167001745078,12043.0,0.0
1747100357.698,74.3,73.42,76.31,73.24,74.23,3699,6966792,246440575,338757103,2553948.0,87.21375832792951,12698.0,0.0
1747100357.844,74.3,73.42,76.31,73.24,74.23,3699,6966792,246440575,338769969,2547113.0,87.21375832792951,12866.0,0.0
1747100357.995,74.3,73.42,76.31,73.24,74.23,3699,6967268,246440575,338782381,2429315.0,87.21971713206263,12412.0,0.0
1747100358.147,74.3,73.42,76.31,73.24,74.23,3699,6967520,246440575,338794369,2527642.0,87.22287179307426,11988.0,0.0
1747100358.296,74.3,73.42,76.31,73.24,74.23,3699,6967772,246440575,338807227,2541925.0,87.22602645408591,12858.0,0.0
1747100358.45,74.3,73.42,76.31,73.24,74.23,3699,6967772,246440575,338819089,2441095.0,87.22602645408591,11862.0,0.0
1747100358.597,74.3,73.42,76.31,73.24,74.23,3699,6968412,246440575,338831550,2500359.0,87.2340382915758,12461.0,0.0
1747100358.758,74.3,73.42,76.31,73.24,74.23,3699,6968412,246440575,338845296,2634088.0,87.2340382915758,13746.0,0.0
1747100358.912,74.3,73.42,76.31,73.24,74.23,3700,6968908,246440575,338858251,2554010.0,87.24024746563047,12955.0,0.0
1747100359.063,74.3,73.42,76.31,73.24,74.23,3700,6969412,246440575,338870544,2531488.0,87.24655678765376,12293.0,0.0
1747100359.203,74.3,73.42,76.31,73.24,74.23,3699,6969276,246440575,338882174,2461052.0,87.24485427218715,11630.0,0.0
1747100359.348,74.3,73.42,76.31,73.24,74.23,3699,6968924,246440575,338893942,2248531.0,87.24044776156772,11768.0,0.0
1747100359.492,74.3,73.42,76.31,73.24,74.23,3699,6968312,246440575,338905688,2369378.0,87.23278644196802,11746.0,0.0
1747100359.636,74.3,73.42,76.31,73.24,74.23,3699,6967756,246440575,338917768,2407770.0,87.22582615814866,12080.0,0.0
1747100359.784,74.3,73.42,76.31,73.24,74.23,3699,6968008,246440575,338929827,2398431.0,87.22898081916031,12059.0,0.0
1747100359.927,74.3,73.42,76.31,73.24,74.23,3699,6968260,246440575,338941674,2479608.0,87.23213548017196,11847.0,0.0
1747100360.108,74.3,73.42,76.31,73.24,74.23,3699,6968560,246440575,338955759,3113639.0,87.23589102899534,14085.0,0.0
1747100360.271,74.3,73.42,76.31,73.24,74.23,3699,6968640,246440575,338969889,2831170.0,87.23689250868158,14130.0,0.0
1747100360.425,74.3,73.42,76.31,73.24,74.23,3699,6968284,246440575,338982174,2542413.0,87.23243592407782,12285.0,0.0
1747100360.567,74.3,73.42,76.31,73.24,74.23,3699,6968228,246440575,338993899,2490777.0,87.23173488829747,11725.0,0.0
1747100360.709,74.3,73.42,76.31,73.24,74.23,3699,6967884,246440575,339005228,2340387.0,87.22742852564664,11329.0,0.0
1747100360.862,74.3,73.42,76.31,73.24,74.23,3699,6966848,246440575,339018563,2462030.0,87.21445936370988,13335.0,0.0
1747100361.006,74.3,73.42,76.31,73.24,74.23,3699,6966568,246440575,339030074,2490838.0,87.21095418480806,11511.0,0.0
1747100361.151,74.3,73.42,76.31,73.24,74.23,3700,6965864,246440575,339041920,2341547.0,87.20214116356917,11846.0,0.0
1747100361.294,74.3,73.42,76.31,73.24,74.23,3699,6965252,246440575,339053569,2382013.0,87.19447984396946,11649.0,0.0
1747100361.449,74.3,73.42,76.31,73.24,74.23,3699,6965700,246440575,339066118,2366510.0,87.2000881302124,12549.0,0.0
1747100361.591,74.3,73.42,76.31,73.24,74.23,3699,6965952,246440575,339078056,2514764.0,87.20324279122403,11938.0,0.0
1747100361.74,74.3,73.42,76.31,73.24,74.23,3699,6966176,246440575,339089691,2318781.0,87.2060469343455,11635.0,0.0
1747100361.889,74.3,73.42,76.31,73.24,74.23,3700,6966176,246440575,339101690,2416986.0,87.2060469343455,11999.0,0.0
1747100362.039,74.3,73.42,76.31,73.24,74.23,3699,6966680,246440575,339113256,2431268.0,87.21235625636878,11566.0,0.0
1747100362.185,74.3,73.42,76.31,73.24,74.23,3699,6966680,246440575,339124455,2427484.0,87.21235625636878,11199.0,0.0
1747100362.338,74.3,73.42,76.31,73.24,74.23,3700,6966932,246440575,339136892,2440301.0,87.21551091738043,12437.0,0.0
1747100362.486,74.3,73.42,76.31,73.23,74.23,3699,6966932,246440575,339148753,2390681.0,87.21551091738043,11861.0,0.0
1747100362.639,74.3,73.42,76.31,73.23,74.23,3699,6966932,246440575,339160504,2499016.0,87.21551091738043,11751.0,0.0
1747100362.785,74.3,73.42,76.31,73.23,74.23,3699,6966932,246440575,339172473,2394708.0,87.21551091738043,11969.0,0.0
1747100362.928,74.3,73.42,76.31,73.23,74.23,3699,6966932,246440575,339183233,2314753.0,87.21551091738043,10760.0,0.0
1747100363.066,74.3,73.42,76.31,73.23,74.23,3699,6966932,246440575,339193945,2308832.0,87.21551091738043,10712.0,0.0
1747100363.217,74.3,73.42,76.31,73.23,74.23,3699,6966932,246440575,339206078,2261469.0,87.21551091738043,12133.0,0.0
1747100363.363,74.3,73.42,76.31,73.23,74.23,3699,6966932,246440575,339217151,2443536.0,87.21551091738043,11073.0,0.0
1747100363.506,74.3,73.42,76.31,73.23,74.23,3699,6966932,246440575,339228470,2338434.0,87.21551091738043,11319.0,0.0
1747100363.699,74.3,73.42,76.31,73.23,74.23,2758,6966932,246440575,339240437,1446591.0,87.21551091738043,11967.0,0.0
1747100363.852,74.3,73.42,76.31,73.23,74.23,2915,6966932,246440575,339252168,2273675.0,87.21551091738043,11731.0,0.0
1747100363.996,74.3,73.42,76.31,73.23,74.23,3699,6966932,246440575,339264296,2476129.0,87.21551091738043,12128.0,0.0
1747100364.144,74.3,73.42,76.31,73.23,74.23,3699,6966932,246440575,339275624,2346979.0,87.21551091738043,11328.0,0.0
1747100364.283,74.3,73.42,76.31,73.23,74.23,3699,6966932,246440575,339286539,2313837.0,87.21551091738043,10915.0,0.0
1747100364.432,74.3,73.42,76.31,73.23,74.23,3699,6966932,246440575,339297736,2307612.0,87.21551091738043,11197.0,0.0
1747100364.579,74.3,73.42,76.31,73.23,74.23,3699,6967688,246440575,339309690,2378960.0,87.22497490041536,11954.0,0.0
1747100364.726,74.3,73.42,76.31,73.23,74.23,3700,6968440,246440575,339321560,2370844.0,87.234388809466,11870.0,0.0
1747100364.883,74.3,73.42,76.31,73.23,74.23,3699,6968692,246440575,339333670,2509454.0,87.23754347047763,12110.0,0.0
1747100365.03,74.3,73.42,76.31,73.23,74.23,3699,6968512,246440575,339344574,2370660.0,87.2352901411836,10904.0,0.0
1747100365.181,74.3,73.42,76.31,73.23,74.23,3699,6968576,246440575,339356747,2464289.0,87.23609132493259,12173.0,0.0
1747100365.32,74.3,73.42,76.31,73.23,74.23,3699,6968828,246440575,339367912,2413934.0,87.23924598594424,11165.0,0.0
1747100365.453,74.3,73.42,76.31,73.23,74.23,3700,6968828,246440575,339377686,2231683.0,87.23924598594424,9774.0,0.0
1747100365.601,74.3,73.42,76.31,73.23,74.23,3436,6971788,246440575,339387487,1733700.0,87.27630073433498,9801.0,0.0
1747100365.753,74.3,73.42,76.31,73.23,74.23,3699,6971008,246440575,339399657,2497918.0,87.26653630739418,12170.0,0.0
1747100365.904,74.3,73.42,76.31,73.23,74.23,3700,6970732,246440575,339411647,2406854.0,87.26308120247666,11990.0,0.0
1747100366.056,74.3,73.42,76.31,73.23,74.23,3700,6970812,246440575,339422967,2450495.0,87.2640826821629,11320.0,0.0
1747100366.202,74.3,73.42,76.31,73.23,74.23,3699,6970800,246440575,339435621,2479242.0,87.26393246020996,12654.0,0.0
1747100366.348,74.3,73.42,76.31,73.23,74.23,3700,6971124,246440575,339446886,2361200.0,87.26798845293922,11265.0,0.0
1747100366.501,74.3,73.42,76.31,73.23,74.23,3700,6970952,246440575,339459234,2414360.0,87.26583527161381,12348.0,0.0
1747100366.651,74.3,73.42,76.31,73.23,74.23,3700,6971096,246440575,339471677,2510553.0,87.26763793504904,12443.0,0.0
1747100366.796,74.3,73.42,76.31,73.23,74.23,3700,6970660,246440575,339482599,2407587.0,87.26217987075906,10922.0,0.0
1747100366.947,74.3,73.42,76.31,73.23,74.23,3700,6970820,246440575,339494260,2350580.0,87.26418283013152,11661.0,0.0
1747100367.091,74.3,73.42,76.31,73.23,74.23,3700,6970728,246440575,339506103,2456170.0,87.26303112849236,11843.0,0.0
1747100367.229,74.3,73.42,76.31,73.23,74.23,3700,6970556,246440575,339517212,2373346.0,87.26087794716693,11109.0,0.0
1747100367.376,74.3,73.42,76.31,73.23,74.23,3700,6970808,246440575,339528210,2235590.0,87.26403260817858,10998.0,0.0
1747100367.517,74.3,73.42,76.31,73.23,74.23,3700,6970808,246440575,339538977,2299494.0,87.26403260817858,10767.0,0.0
1747100367.657,74.3,73.42,76.31,73.23,74.23,3700,6970864,246440575,339550372,2299860.0,87.26473364395895,11395.0,0.0
1747100367.802,74.3,73.42,76.31,73.23,74.23,3700,6970864,246440575,339561255,2273859.0,87.26473364395895,10883.0,0.0
1747100367.945,74.3,73.42,76.31,73.23,74.23,3700,6970864,246440575,339572348,2331781.0,87.26473364395895,11093.0,0.0
1747100368.094,74.3,73.42,76.31,73.23,74.23,3700,6971312,246440575,339584222,2318903.0,87.27034193020188,11874.0,0.0
1747100368.236,74.3,73.42,76.31,73.23,74.23,3700,6970096,246440575,339595519,2400567.0,87.25511943897108,11297.0,0.0
1747100368.384,74.3,73.42,76.31,73.23,74.23,3700,6968792,246440575,339607670,2369745.0,87.23879532008543,12151.0,0.0
