Timestamp,CpuALL_usage,Cpu0_usage,Cpu1_usage,Cpu2_usage,Cpu3_usage,Cpu4_usage,Cpu5_usage,Cpu6_usage,Cpu7_usage,Cpu8_usage,Cpu9_usage,Cpu10_usage,Cpu11_usage,Cpu12_usage,Cpu13_usage,Cpu14_usage,Cpu15_usage,Cpu16_usage,Cpu17_usage,Cpu18_usage,Cpu19_usage,Cpu20_usage,Cpu21_usage,Cpu22_usage,Cpu23_usage,Cpu24_usage,Cpu25_usage,Cpu26_usage,Cpu27_usage,Cpu28_usage,Cpu29_usage,Cpu30_usage,Cpu31_usage,Cpu32_usage,Cpu33_usage,Cpu34_usage,Cpu35_usage,cpu_frequency,memory_usage,Reads_on_sda,Writes_on_sda,Energy_usage_during_time,memory_usage_perce,write_rate_during_time,read_rate_during_time
1757172648.197,8.34,2.8,11.55,11.27,10.02,8.53,7.56,6.92,6.43,7.12,8.72,3.44,3.89,6.12,1.27,6.81,9.51,5.69,3.55,10.55,6.06,6.9,6.78,6.56,8.88,7.2,8.9,9.67,8.79,13.67,12.32,12.45,17.84,12.56,5.28,14.45,10.22,2355,2458412,17718,445072,5407762.0,30.775620979997946,0.0,0.0
1757172648.363,8.34,2.8,11.55,11.27,10.02,8.53,7.56,6.92,6.43,7.12,8.72,3.44,3.89,6.12,1.27,6.81,9.51,5.69,3.55,10.55,6.06,6.9,6.78,6.56,8.88,7.2,8.9,9.67,8.79,13.67,12.32,12.45,17.84,12.56,5.28,14.45,10.22,2407,2458076,17718,445072,5326036.0,30.771414765315754,0.0,0.0
1757172648.532,8.34,2.8,11.55,11.27,10.02,8.53,7.56,6.92,6.43,7.12,8.72,3.44,3.89,6.12,1.27,6.81,9.51,5.69,3.55,10.55,6.06,6.9,6.78,6.56,8.88,7.2,8.9,9.67,8.79,13.67,12.32,12.45,17.84,12.56,5.28,14.45,10.22,2450,2457960,17718,445072,5460069.0,30.769962619770713,0.0,0.0
1757172648.699,8.34,2.8,11.55,11.27,10.02,8.53,7.56,6.92,6.43,7.12,8.72,3.44,3.89,6.12,1.27,6.81,9.51,5.69,3.55,10.55,6.06,6.9,6.78,6.56,8.88,7.2,8.9,9.67,8.79,13.67,12.32,12.45,17.84,12.56,5.28,14.45,10.22,2320,2460240,17718,445072,6269943.0,30.798504790828453,0.0,0.0
1757172648.865,8.34,2.8,11.55,11.27,10.02,8.53,7.56,6.92,6.43,7.12,8.72,3.44,3.89,6.12,1.27,6.81,9.51,5.69,3.55,10.55,6.06,6.9,6.78,6.56,8.88,7.2,8.9,9.67,8.79,13.67,12.32,12.45,17.84,12.56,5.28,14.45,10.22,2976,2459964,17718,445139,8867531.0,30.795049685910936,67.0,0.0
1757172649.029,8.34,2.8,11.55,11.27,10.02,8.53,7.56,6.92,6.43,7.12,8.72,3.44,3.89,6.12,1.27,6.81,9.51,5.69,3.55,10.55,6.06,6.9,6.78,6.56,8.88,7.2,8.9,9.67,8.79,13.67,12.32,12.45,17.84,12.56,5.28,14.45,10.22,2998,2459780,17718,445139,8875099.0,30.79274628263259,0.0,0.0
1757172649.194,8.34,2.8,11.55,11.27,10.02,8.53,7.56,6.92,6.43,7.12,8.72,3.44,3.89,6.12,1.27,6.81,9.51,5.69,3.55,10.55,6.06,6.9,6.78,6.56,8.88,7.2,8.9,9.67,8.79,13.67,12.32,12.45,17.84,12.56,5.28,14.45,10.22,2994,2460256,17718,445141,8771584.0,30.7987050867657,2.0,0.0
1757172649.36,8.34,2.8,11.55,11.27,10.02,8.53,7.56,6.92,6.43,7.12,8.72,3.44,3.89,6.12,1.27,6.81,9.51,5.69,3.55,10.55,6.06,6.9,6.78,6.56,8.88,7.2,8.9,9.67,8.79,13.67,12.32,12.45,17.84,12.56,5.28,14.45,10.22,3008,2460752,17718,445141,8859963.0,30.80491426082036,0.0,0.0
1757172649.526,8.34,2.8,11.55,11.27,10.02,8.53,7.56,6.92,6.43,7.12,8.72,3.44,3.89,6.12,1.27,6.81,9.51,5.69,3.55,10.55,6.06,6.9,6.78,6.56,8.88,7.2,8.9,9.67,8.79,13.67,12.32,12.45,17.84,12.56,5.28,14.45,10.22,3003,2460172,17718,445141,8878273.0,30.797653533095147,0.0,0.0
1757172649.6920002,8.34,2.8,11.55,11.27,10.02,8.53,7.56,6.92,6.43,7.12,8.72,3.44,3.89,6.12,1.27,6.81,9.51,5.69,3.55,10.55,6.06,6.9,6.78,6.56,8.88,7.2,8.9,9.67,8.79,13.67,12.32,12.45,17.84,12.56,5.28,14.45,10.22,3019,2460068,17718,445141,8891030.0,30.79635160950304,0.0,0.0
